인접산,weight
감악산,0.001978892
산수골산,0.00054772
상월산,0.008812125
발용산,0.000352485
연호산,0.008078995
송악산,0.005
행종산,0.001173709
금무산,0.000693241
시량산,0.000740466
곰직이산,0.019410745
백룡산,0.001351808
취병산,0.000142056
불산,0.000994389
봉서산,0.001320423
안장산,0.011279521
운문산,0.011873351
대선산,0.001013856
대각산,0.00782881
무갑산,0.00422982
곰배령,0.006108388
우성이산,0.012899897
남부능선,0.009234828
비파산,0.002347418
대박산,0.013180128
마대산,0.000586854
삼정산,0.046174142
운암산,0.00168976
적변산,0.001026995
가덕산,0.000497194
작동산,0.00434492
문복산,0.013302551
금단산,0.002591633
가련산,0.00782881
백악산,0.000769569
민둥산,0.000293427
장년산,0.002956393
마천산,0.011669659
남수산,0.001173709
오대산,0.001386482
재안산,0.002201861
초당거리산,0.002841111
거문산,0.000213083
사무산,0.008145131
산밭골산,0.001099384
금용산,0.007760532
선학산,0.006926121
화악산,0.001099384
등곡산,0.011847464
석화산,0.000781305
소반바위산,0.000337952
여항산,0.002528584
송문산,0.003054194
연화산,0.000659631
앵당산,0.000781305
사방산,0.000675904
구절산,0.00034662
매조산,0.000343289
도독고산,0.001108647
장군산,0.000329815
마양산,0.000733568
소뿔산,0.001136444
새벽대기산,0.000781305
철암산,0.001320423
태자산,0.000109938
굴암산,0.002858399
종괘산,0.00211491
배골산,0.00619195
망진산,0.00769569
죽바우등,0.008795075
고작지산,0.000852333
석용산,0.005398111
마적산,0.002557
보라산,0.00164316
땅뫼산,0.012195122
철탄산,0.002347418
구미산,0.000568222
윤지미산,0.000880282
원통산,0.002347418
한재산,0.000852333
동악산,0.000880282
소리산,0.007805012
대소산,0.001026995
곱돌산,0.000686577
통미산,0.000370233
고려산,0.000740466
금물산,0.00063925
월악산,0.039985191
마름산,0.00140994
포암산,0.002053991
당동산,0.04
오난산,0.001002674
척령산,0.00299222
추읍산,0.00205395
냉산,0.001760563
중미산,0.000733568
치마바위산,0.002591633
개구리산,0.003298153
도화산,0.000733568
악견산,0.000659631
대미산,0.001320423
망덕산,0.000439754
산방산,0.068333333
먹산,0.011477231
흑성산,0.003119584
장백산,0.006263048
취암산,0.00762565
오계산,0.001196888
도장산,0.000109938
선두산,0.0011107
필산,0.00161385
딴뫼산,0.000293427
가산,0.00208883
대봉산,0.000769569
최악산,0.00026096
정개산,0.000109938
천축산,0.000733568
올산,0.001775694
좌상산,0.00034662
박산,0.00054772
흔적골산,0.006707946
녹대산,0.000219877
남병산,0.000355139
자굴산,0.003188215
금당산,0.000284111
산신동산,0.038333333
복계산,0.003551389
계족산,0.002703616
어유산,0.000440141
지리산 왕등재,0.006376429
논덕산,0.000329815
종자산,0.003409333
짚봉산,0.020796616
보개산,0.000693241
무장산,0.019512911
천잠산,0.000782881
봉산(209m),0.001029866
토성산,0.001547988
