"정류소번호","정류소명","Y좌표","X좌표","도로명주소","housePop","comPop","billaPop","aptPop","numUniv","numHsch","numMsch","numHosp","bsst_ars_no","sum_ride_pasgr","sum_alight_pasgr","sum_pasgr","numSubw"
8402,"월곡아남아파트",37.6064774,127.0345111,"대한민국 서울특별시 성북구 하월곡동 오패산로3길",8863.96,3099.89316,295,2694,0,1,1,10,8402,4439,7548,11987,0
8403,"월곡동신아파트",37.6045306,127.0360245,"대한민국 서울특별시 성북구 하월곡동 오패산로3길",9002.57,3999.15868,289,4461,0,0,0,16,8403,8537,7263,15800,0
8404,"돌곶이역8번출구",37.610303,127.056327,"대한민국 서울특별시 성북구 돌곶이로",6730.68,4533.3425,828,1105,0,0,0,12,8404,9961,16744,26705,1
8405,"한성대입구역",37.58916343,127.0049813,"대한민국 서울특별시 성북구 성북로",5048.24,3002.89107,1275,92,1,0,1,13,8405,4629,16849,21478,1
8406,"장위동입구",37.61373132,127.0390305,"대한민국 서울특별시 성북구 장위동 장위로",6328.17,1234.07457,1630,2398,0,1,2,6,8406,8073,6673,14746,0
8408,"북한산보국문역2번출구",37.6122939,127.0079858,"대한민국 서울특별시 성북구 정릉동 보국문로",5306.11,1615.12042,1737,851,0,0,0,4,8408,28124,35819,63943,0
8409,"북한산보국문역1번출구",37.61208355,127.0083291,"대한민국 서울특별시 성북구 정릉동 보국문로",5380.29,1856.5193,1864,851,0,0,0,5,8409,50729,20881,71610,0
8448,"일신휴먼빌.우정아파트",37.60009591,127.0111939,"대한민국 서울특별시 성북구 아리랑로5길",5828.94,1117.56769,600,3557,0,0,0,2,8448,5614,317,5931,0
8449,"고려아파트",37.59856235,127.0272458,"대한민국 서울특별시 성북구 종암동 종암로19다길",5393.75,349.37763,451,4313,0,0,0,4,8449,1436,3242,4678,0
8450,"장월초교.참누리아파트",37.62328857,127.0484023,"대한민국 서울특별시 성북구 장위3동",5980.68,1482.39159,324,3726,0,0,0,5,8450,6800,251,7051,0
8451,"동방주택",37.61658542,127.0437264,"대한민국 서울특별시 성북구 장위1동 장위로13길",5309.11,1624.61607,1728,53,0,0,0,5,8451,7799,8802,16601,0
8452,"장위중학교",37.61190904,127.0405011,"대한민국 서울특별시 성북구 장위로4길",5469.11,1093.30041,1414,2070,0,1,2,3,8452,5519,6433,11952,0
8453,"신안APT.길음초등학교",37.61422433,127.0164202,"대한민국 서울특별시 성북구 길음1동",6265.05,516.41046,312,5737,1,3,1,3,8453,12420,14650,27070,0
8454,"정릉4동종점",37.61294369,127.0101775,"대한민국 서울특별시 성북구 정릉4동 보국문로16길",5407.51,1557.32122,1916,1680,1,2,0,3,8454,6653,6198,12851,0
8455,"산림초소",37.61391999,126.9979441,"대한민국 서울특별시 성북구 정릉동 보국문로29길",1368.62,19.83461,109,93,1,0,0,0,8455,815,1624,2439,0
8456,"정릉2동주민센터",37.60460856,127.0110779,"대한민국 서울특별시 성북구 정릉로",5853.88,1783.13284,758,2453,0,0,0,8,8456,1935,515,2450,0
8457,"4호선성신여대역",37.59229187,127.0164517,"대한민국 서울특별시 성북구 동소문로",5427.35,11928.61248,475,895,0,0,0,18,8457,47873,35543,83416,4
8458,"삼선푸르지오APT앞",37.58485554,127.0136125,"대한민국 서울특별시 성북구 삼선동 보문로29다길",6447.57,2173.64052,722,2052,0,2,1,2,8458,9163,8711,17874,0
8459,"한성대정문",37.58256252,127.0112286,"대한민국 서울특별시 성북구 삼선동2가",7435.87,1769.47487,267,3125,1,1,1,2,8459,33451,36355,69806,0
8460,"한신113동앞",37.59434268,127.0085998,"대한민국 서울특별시 성북구 성북로4길",5474.68,625.0217,519,4291,0,1,2,3,8460,6737,683,7420,0
8462,"낙산삼거리",37.5802666,127.0105671,"대한민국 서울특별시 종로구 낙산길",5406.76,1632.19035,690,2154,1,2,1,1,8462,6048,100,6148,0
8463,"돈암2동주민센터",37.5975864,127.0109908,"대한민국 서울특별시 성북구 아리랑로5길",5982.02,1025.45582,521,4299,0,0,0,2,8463,13421,1024,14445,0
8464,"종암중학교",37.59328447,127.0348753,"대한민국 서울특별시 성북구 종암동 북악산로29길",3425.85,2751.57171,573,689,0,1,1,3,8464,1579,591,2170,1
8465,"하이마트",37.59399332,127.0359005,"대한민국 서울특별시 성북구 종암로",4169.2,3038.67644,734,667,0,1,2,4,8465,5729,173,5902,1
8466,"고려슈퍼",37.59864062,127.0277679,"대한민국 서울특별시 성북구 종암동 종암로19다길",5223.4,243.37762,382,4133,0,0,0,4,8466,1784,35,1819,0
8467,"슈퍼앞",37.61566956,127.0422465,"대한민국 서울특별시 성북구 장위1동 장위로13길",5541.64,1004.99314,2248,53,0,0,0,3,8467,4624,319,4943,0
8468,"월곡청소년센터",37.61101519,127.0404315,"대한민국 서울특별시 성북구 월곡1동",4962.64,667.4487,935,2567,0,0,1,2,8468,574,122,696,0
